device_id,fuel_level,distance_cm,latitude,longitude,speed_kmph,timestamp,received_at
TRUCK-001,381.13304641786857,5.660086074638353,18.6298,73.7997,0.0,2026-08-01 06:00:00,2026-08-01 06:00:04.125477333
TRUCK-001,381.1330464178693,5.295091184005423,18.6298,73.7997,0.0,2026-08-01 06:00:01,2026-08-01 06:00:06.486069005
TRUCK-001,381.13304641788363,5.684926943390218,18.6298,73.7997,0.0,2026-08-01 06:00:02,2026-08-01 06:00:06.878428451
TRUCK-001,381.1330464180126,5.65910813955548,18.6298,73.7997,0.0,2026-08-01 06:00:03,2026-08-01 06:00:05.126035950
TRUCK-001,381.1330464187831,5.968415255846478,18.6298,73.7997,0.0,2026-08-01 06:00:04,2026-08-01 06:00:06.500831425
TRUCK-001,381.1330464222406,5.575245645470863,18.6298,73.7997,0.0,2026-08-01 06:00:05,2026-08-01 06:00:10.367767227
TRUCK-001,381.13304643473026,5.957939659699827,18.6298,73.7997,0.0,2026-08-01 06:00:06,2026-08-01 06:00:07.026326523
TRUCK-001,381.1330464727232,6.749992387568038,18.6298,73.7997,0.0,2026-08-01 06:00:07,2026-08-01 06:00:12.106142092
TRUCK-001,381.13304657319776,5.361185956498935,18.6298,73.7997,0.0,2026-08-01 06:00:08,2026-08-01 06:00:12.985347144
TRUCK-001,381.1330468096738,7.157213551703352,18.6298,73.7997,0.0,2026-08-01 06:00:09,2026-08-01 06:00:12.339674764
TRUCK-001,381.1330473137747,7.015025692800054,18.6298,73.7997,0.0,2026-08-01 06:00:10,2026-08-01 06:00:12.515162134
TRUCK-001,381.1330482999626,5.94715723330558,18.6298,73.7997,0.0,2026-08-01 06:00:11,2026-08-01 06:00:13.392128061
TRUCK-001,381.1330500877497,5.88631458207999,18.6298,73.7997,0.0,2026-08-01 06:00:12,2026-08-01 06:00:14.274347938
TRUCK-001,381.1330531112655,6.1601035530509884,18.6298,73.7997,0.0,2026-08-01 06:00:13,2026-08-01 06:00:16.225381529
TRUCK-001,381.1330579008439,5.964260600826274,18.6298,73.7997,0.0,2026-08-01 06:00:14,2026-08-01 06:00:17.522741295
TRUCK-001,381.13306501601556,5.2687641567954735,18.6298,73.7997,0.0,2026-08-01 06:00:15,2026-08-01 06:00:18.767486760
TRUCK-001,381.13307490506423,5.3443937597180025,18.6298,73.7997,0.0,2026-08-01 06:00:16,2026-08-01 06:00:21.977501417
TRUCK-001,381.1330876643776,5.870159126944987,18.6298,73.7997,0.0,2026-08-01 06:00:17,2026-08-01 06:00:21.963309596
TRUCK-001,381.1331026721726,5.453449988457315,18.6298,73.7997,0.0,2026-08-01 06:00:18,2026-08-01 06:00:22.110896147
TRUCK-001,381.13311807634534,5.84209155770604,18.6298,73.7997,0.0,2026-08-01 06:00:19,2026-08-01 06:00:24.944800738
TRUCK-001,381.1331301251881,5.784168402858154,18.6298,73.7997,0.0,2026-08-01 06:00:20,2026-08-01 06:00:22.076543491
