device_id,t_s,timestamp,speed_kmph,accel_mps2,location_state,latitude,longitude,fuel_gt_L,fuel_raw_L,event_label,distance_cm
TRUCK-001,0.0,2026-08-01 06:00:00,0.0,0.0,Depot,18.6298,73.7997,380.0,381.13304641787215,Normal,5.660086074638353
TRUCK-001,1.0,2026-08-01 06:00:01,0.0,0.0,Depot,18.6298,73.7997,379.9997222222222,382.34969605331526,Normal,5.295091184005423
TRUCK-001,2.0,2026-08-01 06:00:02,0.0,0.0,Depot,18.6298,73.7997,379.9994444444444,381.0502435220326,Normal,5.684926943390218
TRUCK-001,3.0,2026-08-01 06:00:03,0.0,0.0,Depot,18.6298,73.7997,379.9991666666666,381.1363062014817,Normal,5.65910813955548
TRUCK-001,4.0,2026-08-01 06:00:04,0.0,0.0,Depot,18.6298,73.7997,379.9988888888888,380.10528248051173,Normal,5.968415255846478
TRUCK-001,5.0,2026-08-01 06:00:05,0.0,0.0,Depot,18.6298,73.7997,379.998611111111,381.4158478484305,Normal,5.575245645470863
TRUCK-001,6.0,2026-08-01 06:00:06,0.0,0.0,Depot,18.6298,73.7997,379.9983333333332,380.1402011343339,Normal,5.957939659699827
TRUCK-001,7.0,2026-08-01 06:00:07,0.0,0.0,Depot,18.6298,73.7997,379.9980555555554,377.5000253747732,Normal,6.749992387568038
TRUCK-001,8.0,2026-08-01 06:00:08,0.0,0.0,Depot,18.6298,73.7997,379.9977777777776,382.12938014500355,Normal,5.361185956498935
TRUCK-001,9.0,2026-08-01 06:00:09,0.0,0.0,Depot,18.6298,73.7997,379.99749999999983,376.14262149432216,Normal,7.157213551703352
TRUCK-001,10.0,2026-08-01 06:00:10,0.0,0.0,Depot,18.6298,73.7997,379.99722222222204,376.6165810239998,Normal,7.015025692800054
TRUCK-001,11.0,2026-08-01 06:00:11,0.0,0.0,Depot,18.6298,73.7997,379.99694444444424,380.1761425556481,Normal,5.94715723330558
TRUCK-001,12.0,2026-08-01 06:00:12,0.0,0.0,Depot,18.6298,73.7997,379.99666666666644,380.3789513930667,Normal,5.88631458207999
TRUCK-001,13.0,2026-08-01 06:00:13,0.0,0.0,Depot,18.6298,73.7997,379.99638888888865,379.46632148983,Normal,6.1601035530509884
TRUCK-001,14.0,2026-08-01 06:00:14,0.0,0.0,Depot,18.6298,73.7997,379.99611111111085,380.1191313305791,Normal,5.964260600826274
TRUCK-001,15.0,2026-08-01 06:00:15,0.0,0.0,Depot,18.6298,73.7997,379.99583333333305,382.43745281068175,Normal,5.2687641567954735
TRUCK-001,16.0,2026-08-01 06:00:16,0.0,0.0,Depot,18.6298,73.7997,379.99555555555526,382.1853541342733,Normal,5.3443937597180025
